327,SAINT POMPAIN,79
328,SAINT PORCHAIRE (79),79
329,SAINT PROUANT,85
330,SAINT RÉVÉREND,85
331,SAINT SIGISMOND,85
332,SAINT SORNIN,85
333,SAINT SULPICE EN PAREDS,85
334,SAINT SULPICE LE VERDON,85
335,SAINT URBAIN,85
336,SAINT VALÉRIEN,85
337,SAINT VINCENT FORT DU LAY,85
338,SAINT VINCENT PUYMAUFRAIS (ou PUYMAUFRAIS),85
339,SAINT VINCENT STERLANGES,85
340,SAINT VINCENT SUR GRAON,85
341,SAINT VINCENT SUR JARD,85
342,SALIGNY,85
343,SALLERTAINE,85
344,SÉRIGNÉ,85
345,SIGOURNAIS,85
346,SIMON (LA VINEUSE),85
347,SOULLANS,85
348,ST JOUIN DE MILLY,79
349,TABLIER (LE),85
350,TALMONT (SAINT HILAIRE),85
351,TARDIÈRE (LA),85
352,TEMPLE (LE),79
353,TERVES,79
354,THIRÉ,85
355,THORIGNY,85
356,THOUARSAIS (BOUILDROUX),85
357,TIFFAUGES (- NOTRE DAME),85
358,TIFFAUGES - SAINT NICOLAS,85
359,TILLAY,85
360,TRANCHE SUR MER (LA),85
361,TREIZE SEPTIERS,85
362,TREIZE VENTS,85
363,TRIAIZE,85
364,VAIRÉ,85
365,VELLUIRE,85
366,VENANSAULT,85
367,VENDRENNES,85
368,VERRIE (LA),85
369,VIEUX POUZAUGES (LE),85
370,VILLIERS EN PLAINE,79
371,VINEUSE (LA),85
372,VIX,85
373,VOUILLÉ LES MARAIS,85
374,VOUVANT,85
375,XANTON (CHASSENON),85
